School,Conference,ProjectedPoints,NumberOfProspects,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Alabama,SEC,191,13,,SEC,104.7,172.25,86.299999999999997,18.75
Georgia,SEC,182,14,,SEC,95.700000000000003,163.25,86.299999999999997,18.75
Ohio State,Big Ten,152,13,,Big Ten,86.299999999999997,143.25,65.700000000000003,8.75
Florida,SEC,104,10,,SEC,17.699999999999999,85.25,86.299999999999997,18.75
Clemson,ACC,97,7,,ACC,46.399999999999999,82.450000000000003,50.600000000000001,14.550000000000001
TCU,Big 12,89,11,,Big 12,30,69.799999999999997,59,19.199999999999999
Tennessee,SEC,89,8,,SEC,2.7000000000000002,70.25,86.299999999999997,18.75
Iowa,Big Ten,80,7,,Big Ten,14.289999999999999,71.25,65.700000000000003,8.75
LSU,SEC,77,13,,SEC,-9.2899999999999991,58.25,86.299999999999997,18.75
Michigan,Big Ten,69,8,,Big Ten,3.29,60.25,65.700000000000003,8.75
Maryland,Big Ten,67,9,,Big Ten,1.29,58.25,65.700000000000003,8.75
USC,Pac 12,67,8,,Pac 12,14.789999999999999,56.289999999999999,52.200000000000003,10.710000000000001
Illinois,Big Ten,67,5,,Big Ten,1.29,58.25,65.700000000000003,8.75
Notre Dame,FBS - Independent,66,6,,Flex,0,0,66,66
Penn State,Big Ten,64,9,,Big Ten,-1.7,55.25,65.700000000000003,8.75
Oklahoma,Big 12,63,10,,Big 12,4,43.799999999999997,59,19.199999999999999
Texas,Big 12,63,7,,Big 12,4,43.799999999999997,59,19.199999999999999
Pitt,ACC,61,9,,ACC,10.390000000000001,46.450000000000003,50.600000000000001,14.550000000000001
Northwestern,Big Ten,61,4,,Big Ten,-4.7000000000000002,52.25,65.700000000000003,8.75
Oregon,Pac 12,60,7,,Pac 12,7.79,49.289999999999999,52.200000000000003,10.710000000000001
Utah,Pac 12,58,5,,Pac 12,5.79,47.289999999999999,52.200000000000003,10.710000000000001
Kentucky,SEC,49,6,,SEC,-37.289999999999999,30.25,86.299999999999997,18.75
South Carolina,SEC,48,7,,SEC,-38.289999999999999,29.25,86.299999999999997,18.75
Auburn,SEC,46,6,,SEC,-40.289999999999999,27.25,86.299999999999997,18.75
Kansas State,Big 12,43,4,,Big 12,-16,23.800000000000001,59,19.199999999999999
Texas A&M,SEC,42,3,,SEC,-44.299999999999997,23.25,86.299999999999997,18.75
UCLA,Pac 12,41,7,,Pac 12,-11.199999999999999,30.289999999999999,52.200000000000003,10.710000000000001
Wisconsin,Big Ten,41,6,,Big Ten,-24.699999999999999,32.25,65.700000000000003,8.75
Texas Tech,Big 12,37,2,,Big 12,-22,17.800000000000001,59,19.199999999999999
Syracuse,ACC,36,5,,ACC,-14.6,21.449999999999999,50.600000000000001,14.550000000000001
Arkansas,SEC,35,7,,SEC,-51.299999999999997,16.25,86.299999999999997,18.75
Oregon State,Pac 12,35,6,,Pac 12,-17.199999999999999,24.289999999999999,52.200000000000003,10.710000000000001
Minnesota,Big Ten,34,5,,Big Ten,-31.699999999999999,25.25,65.700000000000003,8.75
Iowa State,Big 12,33,5,,Big 12,-26,13.800000000000001,59,19.199999999999999
Stanford,Pac 12,33,5,,Pac 12,-19.199999999999999,22.289999999999999,52.200000000000003,10.710000000000001
Ole Miss,SEC,32,9,,SEC,-54.299999999999997,13.25,86.299999999999997,18.75
Cincinnati,FBS - AAC,32,8,,RandomSmallSchool,7.1900000000000004,27.93,24.800000000000001,4.0700000000000003
Louisville,ACC,31,10,,ACC,-19.600000000000001,16.449999999999999,50.600000000000001,14.550000000000001
Mississippi State,SEC,28,5,,SEC,-58.299999999999997,9.25,86.299999999999997,18.75
North Carolina,ACC,28,5,,ACC,-22.600000000000001,13.449999999999999,50.600000000000001,14.550000000000001
Baylor,Big 12,27,7,,Big 12,-32,7.7999999999999998,59,19.199999999999999
Miami (FL),ACC,27,4,,ACC,-23.600000000000001,12.449999999999999,50.600000000000001,14.550000000000001
Boston College,ACC,27,3,,ACC,-23.600000000000001,12.449999999999999,50.600000000000001,14.550000000000001
North Dakota State,FCS,27,3,,RandomSmallSchool,2.1899999999999999,22.93,24.800000000000001,4.0700000000000003
BYU,FBS - Independent,24,5,,RandomSmallSchool,-0.80000000000000004,19.93,24.800000000000001,4.0700000000000003
Purdue,Big Ten,22,6,,Big Ten,-43.700000000000003,13.25,65.700000000000003,8.75
Houston,FBS - AAC,21,6,,RandomSmallSchool,-3.7999999999999998,16.93,24.800000000000001,4.0700000000000003
Georgia Tech,ACC,21,2,,ACC,-29.600000000000001,6.4400000000000004,50.600000000000001,14.550000000000001
Tulane,FBS - AAC,20,5,,RandomSmallSchool,-4.7999999999999998,15.93,24.800000000000001,4.0700000000000003
Wake Forest,ACC,19,4,,ACC,-31.600000000000001,4.4400000000000004,50.600000000000001,14.550000000000001
Washington State,Pac 12,15,1,,Pac 12,-37.200000000000003,4.2800000000000002,52.200000000000003,10.710000000000001
South Dakota State,FCS,15,1,,RandomSmallSchool,-9.8000000000000007,10.93,24.800000000000001,4.0700000000000003
Michigan State,Big Ten,14,7,,Big Ten,-51.700000000000003,5.25,65.700000000000003,8.75
Fresno State,FBS - Mountain West,14,5,,RandomSmallSchool,-10.800000000000001,9.9299999999999997,24.800000000000001,4.0700000000000003
Boise State,FBS - Mountain West,14,4,,RandomSmallSchool,-10.800000000000001,9.9299999999999997,24.800000000000001,4.0700000000000003
Washington,Pac 12,14,4,,Pac 12,-38.200000000000003,3.2799999999999998,52.200000000000003,10.710000000000001
West Virginia,Big 12,13,4,,Big 12,-46,-6.1900000000000004,59,19.199999999999999
Virginia,ACC,13,3,,ACC,-37.600000000000001,-1.55,50.600000000000001,14.550000000000001
SMU,FBS - AAC,12,3,,RandomSmallSchool,-12.800000000000001,7.9299999999999997,24.800000000000001,4.0700000000000003
Nebraska,Big Ten,12,3,,Big Ten,-53.700000000000003,3.25,65.700000000000003,8.75
Oklahoma State,Big 12,12,3,,Big 12,-47,-7.1900000000000004,59,19.199999999999999
Old Dominion,FBS - CUSA,12,2,,RandomSmallSchool,-12.800000000000001,7.9299999999999997,24.800000000000001,4.0700000000000003
Appalachian State,FBS - Sun Belt,11,3,,RandomSmallSchool,-13.800000000000001,6.9299999999999997,24.800000000000001,4.0700000000000003
Kansas,Big 12,11,3,,Big 12,-48,-8.1899999999999995,59,19.199999999999999
Florida State,ACC,11,2,,ACC,-39.600000000000001,-3.5499999999999998,50.600000000000001,14.550000000000001
UAB,FBS - CUSA,10,4,,RandomSmallSchool,-14.800000000000001,5.9299999999999997,24.800000000000001,4.0700000000000003
Eastern Michigan,FBS - MAC,10,2,,RandomSmallSchool,-14.800000000000001,5.9299999999999997,24.800000000000001,4.0700000000000003
Army,FBS - Independent,10,1,,RandomSmallSchool,-14.800000000000001,5.9299999999999997,24.800000000000001,4.0700000000000003
Missouri,SEC,9,3,,SEC,-77.299999999999997,-9.75,86.299999999999997,18.75
Bowling Green,FBS - MAC,8,1,,RandomSmallSchool,-16.800000000000001,3.9300000000000002,24.800000000000001,4.0700000000000003
East Carolina,FBS - AAC,7,3,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
Coastal Carolina,FCS,7,3,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
Central Michigan,FBS - MAC,7,3,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
Tulsa,FBS - AAC,7,3,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
Southern Miss,FBS - CUSA,7,3,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
Chattanooga,FCS,7,2,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
South Alabama,FBS - Sun Belt,7,2,,RandomSmallSchool,-17.800000000000001,2.9300000000000002,24.800000000000001,4.0700000000000003
NC State,ACC,6,6,,ACC,-44.600000000000001,-8.5500000000000007,50.600000000000001,14.550000000000001
Louisiana Tech,FBS - CUSA,6,2,,RandomSmallSchool,-18.800000000000001,1.9199999999999999,24.800000000000001,4.0700000000000003
Vanderbilt,SEC,6,2,,SEC,-80.299999999999997,-12.75,86.299999999999997,18.75
Troy,FBS - Sun Belt,6,2,,RandomSmallSchool,-18.800000000000001,1.9199999999999999,24.800000000000001,4.0700000000000003
Princeton,FCS,6,1,,RandomSmallSchool,-18.800000000000001,1.9199999999999999,24.800000000000001,4.0700000000000003
California,Pac 12,6,1,,Pac 12,-46.200000000000003,-4.71,52.200000000000003,10.710000000000001
Indiana,Big Ten,5,4,,Big Ten,-60.700000000000003,-3.75,65.700000000000003,8.75
San Jose State,FBS - Mountain West,5,4,,RandomSmallSchool,-19.800000000000001,0.92000000000000004,24.800000000000001,4.0700000000000003
Louisiana-Lafayette,FBS - Sun Belt,5,4,,RandomSmallSchool,-19.800000000000001,0.92000000000000004,24.800000000000001,4.0700000000000003
Arizona State,Pac 12,5,3,,Pac 12,-47.200000000000003,-5.71,52.200000000000003,10.710000000000001
Florida A&M,FCS,5,1,,RandomSmallSchool,-19.800000000000001,0.92000000000000004,24.800000000000001,4.0700000000000003
Virginia Tech,ACC,5,1,,ACC,-45.600000000000001,-9.5500000000000007,50.600000000000001,14.550000000000001
Ball State,FBS - MAC,5,1,,RandomSmallSchool,-19.800000000000001,0.92000000000000004,24.800000000000001,4.0700000000000003
Ferris State,D2,5,1,,RandomSmallSchool,-19.800000000000001,0.92000000000000004,24.800000000000001,4.0700000000000003
Rutgers,Big Ten,4,4,,Big Ten,-61.700000000000003,-4.75,65.700000000000003,8.75
UCF,FBS - AAC,4,4,,RandomSmallSchool,-20.800000000000001,-0.070000000000000007,24.800000000000001,4.0700000000000003
Shepherd,D2,4,2,,RandomSmallSchool,-20.800000000000001,-0.070000000000000007,24.800000000000001,4.0700000000000003
Western Kentucky,FBS - CUSA,4,2,,RandomSmallSchool,-20.800000000000001,-0.070000000000000007,24.800000000000001,4.0700000000000003
San Diego State,FBS - Mountain West,3,3,,RandomSmallSchool,-21.800000000000001,-1.0700000000000001,24.800000000000001,4.0700000000000003
Liberty,FCS,3,2,,RandomSmallSchool,-21.800000000000001,-1.0700000000000001,24.800000000000001,4.0700000000000003
Jackson State,FCS,3,2,,RandomSmallSchool,-21.800000000000001,-1.0700000000000001,24.800000000000001,4.0700000000000003
Stephen F. Austin,FCS,3,2,,RandomSmallSchool,-21.800000000000001,-1.0700000000000001,24.800000000000001,4.0700000000000003
Marshall,FBS - CUSA,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Toledo,FBS - MAC,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Florida Atlantic,FBS - CUSA,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Missouri State,FCS,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Northern Iowa,FCS,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Fordham,FCS,2,2,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Duke,ACC,2,1,,ACC,-48.600000000000001,-12.550000000000001,50.600000000000001,14.550000000000001
Arkansas-Pine Bluff,FCS,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Charlotte,FBS - CUSA,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Sacramento State,FCS,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Minnesota Duluth,D2,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Memphis,FBS - AAC,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Rice,FBS - CUSA,2,1,,RandomSmallSchool,-22.800000000000001,-2.0699999999999998,24.800000000000001,4.0700000000000003
Air Force,FBS - Mountain West,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Bethune-Cookman,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Wagner,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Wingate,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
William & Mary,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Northern Arizona,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Grand Valley State,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Campbell,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
South Carolina State,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Incarnate Word,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Montana,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Oklahoma Baptist,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Utah State,FBS - Mountain West,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
North Texas,FBS - CUSA,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Hampton,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Arizona,Pac 12,1,1,,Pac 12,-51.200000000000003,-9.7100000000000009,52.200000000000003,10.710000000000001
Nevada,FBS - Mountain West,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Colorado,Pac 12,1,1,,Pac 12,-51.200000000000003,-9.7100000000000009,52.200000000000003,10.710000000000001
UTSA,FBS - CUSA,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Middle Tennessee State,FBS - CUSA,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Buffalo,FBS - MAC,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Alabama State,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Albany,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Quincy,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
VMI,FCS,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Texas A&M-Commerce,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
Pace,D2,1,1,,RandomSmallSchool,-23.800000000000001,-3.0699999999999998,24.800000000000001,4.0700000000000003
