School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Alabama,SEC,204,34,https://d9ioojyvhqpok.cloudfront.net/ipat9gfnm0mjkzxjgjduhgd3dhh5,,SEC,97.670000000000002,188,106.33,16
Clemson,ACC,202,22,https://d9ioojyvhqpok.cloudfront.net/qdoiydn8n7rrbe24fh91o35g46a2,,ACC,131.5,186.46000000000001,70.5,15.539999999999999
Penn State,Big Ten,176,28,https://d9ioojyvhqpok.cloudfront.net/r7ka9jaowmh2i9mbty8xvcw3lszi,,Big Ten,98.5,166.16999999999999,77.5,9.8300000000000001
Texas,SEC,171,26,https://d9ioojyvhqpok.cloudfront.net/qg9cbgbb8dt3ibmkhhpbnxnmu2ym,,SEC,64.670000000000002,155,106.33,16
Oregon,Big Ten,165,20,https://d9ioojyvhqpok.cloudfront.net/jtm5dpazszqv0w6emkd6479rdrk8,,Big Ten,87.5,155.16,77.5,9.8300000000000001
Ohio State,Big Ten,157,30,https://d9ioojyvhqpok.cloudfront.net/t0cc17koiq4lypyf6v0bjmb48dl1,,Big Ten,79.5,147.16,77.5,9.8300000000000001
LSU,SEC,137,28,https://d9ioojyvhqpok.cloudfront.net/kotupd48marnkuttwxr1ueuusuq4,,SEC,30.670000000000002,121,106.33,16
Georgia,SEC,133,30,https://d9ioojyvhqpok.cloudfront.net/lk6cx1kv1jp68409gl92aapm1amw,,SEC,26.670000000000002,117,106.33,16
Florida,SEC,114,18,https://d9ioojyvhqpok.cloudfront.net/36khmjuee0xz2lxwa0xvcpewulbr,,SEC,7.6699999999999999,98,106.33,16
Texas A&M,SEC,110,30,https://d9ioojyvhqpok.cloudfront.net/2zs6v615in0lqkjlrpwr0ss7jal3,,SEC,3.6699999999999999,94,106.33,16
Auburn,SEC,108,12,https://d9ioojyvhqpok.cloudfront.net/eleiezsd0lvxbat70oyxvobqj1wy,,SEC,1.6699999999999999,92,106.33,16
Notre Dame,FBS - Independent,101,18,https://d9ioojyvhqpok.cloudfront.net/tbs37oz73f8lx0yton630db3mwil,,Flex,0,0,101,101
Utah,Big 12,94,12,https://d9ioojyvhqpok.cloudfront.net/6knutc24htvta65sc5lynfbx3bag,,Big 12,41.670000000000002,82.5,52.329999999999998,11.5
South Carolina,SEC,91,14,https://d9ioojyvhqpok.cloudfront.net/xf3wi54n26qaha5aventrscyqj9i,,SEC,-15.32,75,106.33,16
Arizona State,Big 12,89,17,https://d9ioojyvhqpok.cloudfront.net/ki89e84ng0fbkdkof0pb7l8eavl7,,Big 12,36.670000000000002,77.5,52.329999999999998,11.5
Miami (FL),ACC,77,15,https://d9ioojyvhqpok.cloudfront.net/ua8vtcmx37g6fru3tna1nygak655,,ACC,6.5,61.460000000000001,70.5,15.539999999999999
Indiana,Big Ten,75,9,https://d9ioojyvhqpok.cloudfront.net/wapph05yk3m4c6hzhc4793w94sxj,,Big Ten,-2.5,65.170000000000002,77.5,9.8300000000000001
USC,Big Ten,70,14,https://d9ioojyvhqpok.cloudfront.net/9qzau6lr9d2g4rnpah5m4o5l5wrb,,Big Ten,-7.5,60.170000000000002,77.5,9.8300000000000001
Oklahoma,SEC,66,19,https://d9ioojyvhqpok.cloudfront.net/2oxpf3x0lqqyaqu2vusmkrrfpvz4,,SEC,-40.329999999999998,50,106.33,16
Michigan,Big Ten,57,20,https://d9ioojyvhqpok.cloudfront.net/q8wl5dk6g7zupims4dtdrh3ssr12,,Big Ten,-20.5,47.170000000000002,77.5,9.8300000000000001
Missouri,SEC,54,11,https://d9ioojyvhqpok.cloudfront.net/at4tedy432dma8a852zl29mhpl97,,SEC,-52.329999999999998,38,106.33,16
Iowa,Big Ten,54,10,https://d9ioojyvhqpok.cloudfront.net/1v4qash6kghlbzawlc9mcktcv6et,,Big Ten,-23.5,44.170000000000002,77.5,9.8300000000000001
Illinois,Big Ten,49,16,https://d9ioojyvhqpok.cloudfront.net/ufjr2mjvb39qtuuxl324m16av9zg,,Big Ten,-28.5,39.170000000000002,77.5,9.8300000000000001
Tennessee,SEC,49,14,https://d9ioojyvhqpok.cloudfront.net/xvzdtm1u94la26tuf9s7k9biiobk,,SEC,-57.329999999999998,33,106.33,16
Washington,Big Ten,47,9,https://d9ioojyvhqpok.cloudfront.net/ymbx2qwvtd64qbet6aw5rlpvlznq,,Big Ten,-30.5,37.170000000000002,77.5,9.8300000000000001
Louisville,ACC,43,10,https://d9ioojyvhqpok.cloudfront.net/6dtekr0ju42cquwnyoilhqr5048j,,ACC,-27.5,27.460000000000001,70.5,15.539999999999999
Texas Tech,Big 12,40,9,https://d9ioojyvhqpok.cloudfront.net/kuscl9st1izh66xvf7t3cqs05xlc,,Big 12,-12.32,28.5,52.329999999999998,11.5
Ole Miss,SEC,39,13,https://d9ioojyvhqpok.cloudfront.net/4ci7fizvkcl1pmfv17qg8ngxjghp,,SEC,-67.329999999999998,23,106.33,16
SMU,ACC,37,16,https://d9ioojyvhqpok.cloudfront.net/nxpzs66whtpfsd8epy2yvfnl7o1l,,ACC,-33.5,21.460000000000001,70.5,15.539999999999999
Colorado,Big 12,37,13,https://d9ioojyvhqpok.cloudfront.net/31k9h4jju8wo500iowlssig5xh2n,,Big 12,-15.32,25.5,52.329999999999998,11.5
Florida State,ACC,33,20,https://d9ioojyvhqpok.cloudfront.net/m93iek4mxqk3riqkjcnkn6750owr,,ACC,-37.5,17.460000000000001,70.5,15.539999999999999
Pitt,ACC,31,11,https://d9ioojyvhqpok.cloudfront.net/csd3a9od4s7wmvelf8ocfsz1iybj,,ACC,-39.5,15.460000000000001,70.5,15.539999999999999
Vanderbilt,SEC,30,11,https://d9ioojyvhqpok.cloudfront.net/ks9tdyoxceupundm449cdwku6r07,,SEC,-76.329999999999998,14,106.33,16
Minnesota,Big Ten,29,8,https://d9ioojyvhqpok.cloudfront.net/qwkosz3kmuu3cll5gejk03tlkbrc,,Big Ten,-48.5,19.170000000000002,77.5,9.8300000000000001
Northwestern,Big Ten,28,5,https://d9ioojyvhqpok.cloudfront.net/uzykooi74755tgvvarik104rhbwc,,Big Ten,-49.5,18.170000000000002,77.5,9.8300000000000001
Baylor,Big 12,27,12,https://d9ioojyvhqpok.cloudfront.net/680o8r6910ph1hh1y4x61eqn3q1a,,Big 12,-25.329999999999998,15.5,52.329999999999998,11.5
Kansas,Big 12,27,11,https://d9ioojyvhqpok.cloudfront.net/3y3u2f1wfjxe2jgxqkfhh4bptcls,,Big 12,-25.329999999999998,15.5,52.329999999999998,11.5
TCU,Big 12,25,12,https://d9ioojyvhqpok.cloudfront.net/3pn9fufuton7hpf2s6p0cdb71qau,,Big 12,-27.329999999999998,13.5,52.329999999999998,11.5
Duke,ACC,25,6,https://d9ioojyvhqpok.cloudfront.net/mero0lt4runb7sfivdwof5kb4pfq,,ACC,-45.5,9.4600000000000009,70.5,15.539999999999999
Wisconsin,Big Ten,23,10,https://d9ioojyvhqpok.cloudfront.net/o4grd1s0303jrryu10vqeg74uw3y,,Big Ten,-54.5,13.17,77.5,9.8300000000000001
Cincinnati,Big 12,23,7,https://d9ioojyvhqpok.cloudfront.net/870bz02zmr1utzcq47atpmxmxhgn,,Big 12,-29.329999999999998,11.5,52.329999999999998,11.5
Iowa State,Big 12,23,6,https://d9ioojyvhqpok.cloudfront.net/4y3zdnc9x1vnvvqjvq8h1ocvbph1,,Big 12,-29.329999999999998,11.5,52.329999999999998,11.5
Virginia,ACC,21,11,https://d9ioojyvhqpok.cloudfront.net/n3p1twy2vglxg07gxs12mqum57ob,,ACC,-49.5,5.46,70.5,15.539999999999999
Michigan State,Big Ten,21,7,https://d9ioojyvhqpok.cloudfront.net/cg1n9n8hr8srlsf1f5n8hshp7hn4,,Big Ten,-56.5,11.17,77.5,9.8300000000000001
Boston College,ACC,20,6,https://d9ioojyvhqpok.cloudfront.net/pvnuj3g9p7wjnr5tqceycvcd3cyj,,ACC,-50.5,4.46,70.5,15.539999999999999
Georgia Tech,ACC,17,7,https://d9ioojyvhqpok.cloudfront.net/81nz08xlyuakuteawucr4up3suo8,,ACC,-53.5,1.46,70.5,15.539999999999999
NC State,ACC,17,7,https://d9ioojyvhqpok.cloudfront.net/7fycbtf0wh1qkppyd2rk1262d70m,,ACC,-53.5,1.46,70.5,15.539999999999999
Wake Forest,ACC,17,6,https://d9ioojyvhqpok.cloudfront.net/j2ohf1x4a1qpbbv4wc288wjlcxog,,ACC,-53.5,1.46,70.5,15.539999999999999
North Carolina,ACC,16,10,https://d9ioojyvhqpok.cloudfront.net/5c23eybxnlio9jxtkswlc2alkceh,,ACC,-54.5,0.46000000000000002,70.5,15.539999999999999
Kentucky,SEC,15,15,https://d9ioojyvhqpok.cloudfront.net/ut5ldsk84c4ha7ugkge0nc6dhkn1,,SEC,-91.329999999999998,-1,106.33,16
California,ACC,15,8,https://d9ioojyvhqpok.cloudfront.net/auflw3knuli3lbv8xyfpf3isplcn,,ACC,-55.5,-0.53000000000000003,70.5,15.539999999999999
UConn,FBS - AAC,14,4,https://d9ioojyvhqpok.cloudfront.net/rbfl7zbsn9fqyx2083lv9qh3abo1,,RandomSmallSchool,4,11.93,10,2.0699999999999998
Nebraska,Big Ten,13,7,https://d9ioojyvhqpok.cloudfront.net/bggpjlssuaua1w9xvmk0l6adeexb,,Big Ten,-64.5,3.1699999999999999,77.5,9.8300000000000001
Boise State,FBS - Mountain West,12,5,https://d9ioojyvhqpok.cloudfront.net/uyicpybpsmloik4ba9lvjoehaht6,,RandomSmallSchool,2,9.9299999999999997,10,2.0699999999999998
Arizona,Big 12,12,4,https://d9ioojyvhqpok.cloudfront.net/yc1zi4t9i033n72emneex4dsz107,,Big 12,-40.329999999999998,0.5,52.329999999999998,11.5
Virginia Tech,ACC,11,9,https://d9ioojyvhqpok.cloudfront.net/zdyvvg0cti8zu96k5d3l9wjjk336,,ACC,-59.5,-4.5300000000000002,70.5,15.539999999999999
Arkansas,SEC,11,5,https://d9ioojyvhqpok.cloudfront.net/y9pwbaaqxph2ngmsubw4c8mabj28,,SEC,-95.329999999999998,-5,106.33,16
Kansas State,Big 12,11,3,https://d9ioojyvhqpok.cloudfront.net/cf5agfhv1kbdl5pdwue68uacixdr,,Big 12,-41.329999999999998,-0.5,52.329999999999998,11.5
UCLA,Big Ten,10,6,https://d9ioojyvhqpok.cloudfront.net/eg2j22sbnhfw3bbfn1tz41ejtehl,,Big Ten,-67.5,0.16,77.5,9.8300000000000001
Stanford,ACC,10,5,https://d9ioojyvhqpok.cloudfront.net/r84jnj5bajsm80wdy364ziid0z84,,ACC,-60.5,-5.5300000000000002,70.5,15.539999999999999
Texas State,FBS - Sun Belt,9,5,https://d9ioojyvhqpok.cloudfront.net/xs9x6mbqnl60a5ivuzdypubo74dh,,RandomSmallSchool,-1,6.9299999999999997,10,2.0699999999999998
East Carolina,FBS - AAC,9,5,https://d9ioojyvhqpok.cloudfront.net/4fofh5ug49ze2z31qvy645o1teye,,RandomSmallSchool,-1,6.9299999999999997,10,2.0699999999999998
Wyoming,FBS - Mountain West,9,3,https://d9ioojyvhqpok.cloudfront.net/ep7hiz9nugk2psxcfwc5mj701dzf,,RandomSmallSchool,-1,6.9299999999999997,10,2.0699999999999998
Mississippi State,SEC,8,8,https://d9ioojyvhqpok.cloudfront.net/fx6nh0df2yp80txh0qv4lzengrnr,,SEC,-98.329999999999998,-8,106.33,16
Maryland,Big Ten,7,4,https://d9ioojyvhqpok.cloudfront.net/d3n73hxgsb7bplz3zkxq5ubrewx4,,Big Ten,-70.5,-2.8300000000000001,77.5,9.8300000000000001
James Madison,FBS - Sun Belt,7,3,https://d9ioojyvhqpok.cloudfront.net/jxwsh5nfw2r1lak6vps8g12jl54j,,RandomSmallSchool,-3,4.9299999999999997,10,2.0699999999999998
Toledo,FBS - MAC,7,2,https://d9ioojyvhqpok.cloudfront.net/m1sfaztmkwljt443jgfvxniro9pt,,RandomSmallSchool,-3,4.9299999999999997,10,2.0699999999999998
Oklahoma State,Big 12,6,6,https://d9ioojyvhqpok.cloudfront.net/qwfc4f82m2rngln7rguecgcdanch,,Big 12,-46.329999999999998,-5.5,52.329999999999998,11.5
UTEP,FBS - CUSA,6,2,https://d9ioojyvhqpok.cloudfront.net/das7yv34vzekh2h8y2xt3wxsy8zp,,RandomSmallSchool,-4,3.9300000000000002,10,2.0699999999999998
North Dakota State,FCS,6,1,https://d9ioojyvhqpok.cloudfront.net/2bysk1tvl4fivjvr6l70tl6imxvx,,RandomSmallSchool,-4,3.9300000000000002,10,2.0699999999999998
West Virginia,Big 12,5,5,https://d9ioojyvhqpok.cloudfront.net/37s7o47tb2yw9pkq8f0wbmra4n5c,,Big 12,-47.329999999999998,-6.5,52.329999999999998,11.5
UCF,Big 12,5,5,https://d9ioojyvhqpok.cloudfront.net/g0vfbj8pnx4msjf7l42l5h1esvn4,,Big 12,-47.329999999999998,-6.5,52.329999999999998,11.5
Southern Miss,FBS - CUSA,5,5,https://d9ioojyvhqpok.cloudfront.net/vljaktb9bwwnrs8vbsz5zjiehzbg,,RandomSmallSchool,-5,2.9300000000000002,10,2.0699999999999998
Marshall,FBS - CUSA,5,4,https://d9ioojyvhqpok.cloudfront.net/1n0ygqwmsvg771vm8ilzdptyhvvv,,RandomSmallSchool,-5,2.9300000000000002,10,2.0699999999999998
UNLV,FBS - Mountain West,5,4,https://d9ioojyvhqpok.cloudfront.net/4hxbby4zzz5hxuffm00vngkx1j87,,RandomSmallSchool,-5,2.9300000000000002,10,2.0699999999999998
Purdue,Big Ten,4,4,https://d9ioojyvhqpok.cloudfront.net/0bjmmsxwhzoksybxoe4l71fr2d87,,Big Ten,-73.5,-5.8300000000000001,77.5,9.8300000000000001
Rutgers,Big Ten,4,4,https://d9ioojyvhqpok.cloudfront.net/70kax5tvygnc259akspwmf5pzxq9,,Big Ten,-73.5,-5.8300000000000001,77.5,9.8300000000000001
Charlotte,FBS - AAC,4,4,https://d9ioojyvhqpok.cloudfront.net/f48xuaazydxqnl9pulwp0n9b2w56,,RandomSmallSchool,-6,1.9299999999999999,10,2.0699999999999998
Tulane,FBS - AAC,4,4,https://d9ioojyvhqpok.cloudfront.net/6mz16izd2o7j5755blz7hurdhz22,,RandomSmallSchool,-6,1.9299999999999999,10,2.0699999999999998
Rice,FBS - AAC,4,3,https://d9ioojyvhqpok.cloudfront.net/vmac0vdq6nqzo42x1b0ooiaura3g,,RandomSmallSchool,-6,1.9299999999999999,10,2.0699999999999998
Houston,Big 12,3,3,https://d9ioojyvhqpok.cloudfront.net/yzomr1qt1a1pdlbdwkkn94teus90,,Big 12,-49.329999999999998,-8.5,52.329999999999998,11.5
Akron,FBS - MAC,3,3,https://d9ioojyvhqpok.cloudfront.net/yvu5t7whomsw1iosdwm8fawpi5qj,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Youngstown State,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/rk7ez7uyily7v63g01g6zqtgy7e8,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Massachusetts,FBS - MAC,3,2,https://d9ioojyvhqpok.cloudfront.net/enpjhipf6zrlbpox3c368n4k7ugr,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Troy,FBS - Sun Belt,3,2,https://d9ioojyvhqpok.cloudfront.net/ruiflpk24qu2y21m46ltngncpusm,,RandomSmallSchool,-7,0.93000000000000005,10,2.0699999999999998
Sacramento State,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/1d7nzf0sk6cd8sgcstgisghgthvu,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Jacksonville State,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/e7p9srs34k8g21vjl6zet58xwnqg,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
BYU,Big 12,2,2,https://d9ioojyvhqpok.cloudfront.net/ckao4l33k79nnp9b84uvigzihrgs,,Big 12,-50.329999999999998,-9.5,52.329999999999998,11.5
Memphis,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/zapbfiasf58lmrmdciirdnudnb8e,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
UAB,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/358rqeeze9m7p9m4bmnrwml1w5ml,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
South Florida,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/9nu9lpb74q8f59qi77398wm14asl,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
UTSA,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/ayy2o4qfgx3no4r54obep8ah3yvg,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Appalachian State,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/3lp6eio7dartb77wqwr0xl2lpzch,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Oregon State,Pac 12,2,2,https://d9ioojyvhqpok.cloudfront.net/ueh09xe6mxltdzhv3wsyz5o3al67,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Louisiana-Lafayette,FBS - Sun Belt,2,2,https://d9ioojyvhqpok.cloudfront.net/hmda77r618rropcqdewolreubcgy,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Coastal Carolina,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/q28b5wqgm9onpd38fyk9ji9idh6o,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Syracuse,ACC,2,2,https://d9ioojyvhqpok.cloudfront.net/gxu8tigguesk475f4vlaryv7z5kr,,ACC,-68.5,-13.539999999999999,70.5,15.539999999999999
Florida International,FBS - CUSA,2,2,https://d9ioojyvhqpok.cloudfront.net/8fqmtiyqj379vsr6f5ydwddhqd57,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Miami (OH),FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/ygn6xy9b08f21smi3h08xv63d310,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Bowling Green,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/khecbhkwna27ftfkqu57arc897zj,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
North Dakota,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/7we66inumbdffyzpr98g8bbet7p3,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Harvard,FCS,2,1,https://d9ioojyvhqpok.cloudfront.net/88rmmrypn77edwni0fqdzvh0k3np,,RandomSmallSchool,-8,-0.059999999999999998,10,2.0699999999999998
Lafayette,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/l8chdyeugemmljnurqcdtooir3ft,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Sam Houston State,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/griwt4t7qd18gfqw83vljfjsp3g9,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Northern Illinois,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/i2l5ye5l6hfr8us7xn0wmo3g43dj,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
South Dakota State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/j1h4ym5rvem469nmw166um7w8yyd,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
William & Mary,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cvw607y4kd4abt1omhz4rfw3pqtt,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
San Diego State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/8lk0itjyx8g1jxftz0jchjoh45ro,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Abilene Christian,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/h56roel3p7yjm390npx8lbrlq0fk,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Virginia State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/wm2lvh7f72qagwvyazia4070pm71,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Buffalo,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/i8kbv9ioldxrcyoirtm9nfzr6e5n,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Arkansas State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/0y0q70b747itik24akazpunl090f,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
McNeese State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cs0519lwtta2crm3dm4sp0ojta31,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Western Michigan,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/6smyc88ec4btmrfzo76q6s2l3922,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Portland State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/1zssqxdzgmkfdoyzo6cvywxsndp0,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Tulsa,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/wgzu6axcvmbdijfdtvgsntkc4ylf,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Nevada,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/59h4ronidnmgqjbo1alvonc7wjmv,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Georgia Southern,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/z7ccax7spksvxiv6giffmqhao46a,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
San Jose State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/ro1xx56e4z8uwuoba0lxm44zanow,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Fresno State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/oh0a26wlyg1v3e0c3819jlyxnecp,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Tarleton State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/t9rfbxz4rr0psvshmqya26gz2w3j,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Cal Poly,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/fmuftfu5qfjqres1wr2dy5ii7wf9,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Utah State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/qe590cpbtrq66in7ro62wa3ossas,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Florida Atlantic,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/e9smljtyny48n1ccwc5zdjruxo4l,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Old Dominion,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/1s9b5cfewfr4a3dkyu0cttf7ln1v,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Washington State,Pac 12,1,1,https://d9ioojyvhqpok.cloudfront.net/zosp0uamsigsfed57lz5eejqmxtn,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Florida A&M,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/c25jnf7optvztomz5p0n79uu6x9t,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Air Force,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/p6wau30d9gwh6hgun9zh6dqb6i3y,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
Stephen F. Austin,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/ygg24coxnmjx6wnjdsdfqy93oupp,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
East Tennessee State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/t9ivu93hmr1fljhj12unw9r7f2bs,,RandomSmallSchool,-9,-1.0600000000000001,10,2.0699999999999998
